state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Massachusetts,MA 3,43004,Exit 1A,EXIT 1A,Scusset Beach Road,"Buzzards Bay, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%201A/43004,41.778658,-70.543364,http://maps.google.com/maps?t=m&q=loc:41.778658+-70.543364,Northbound
Massachusetts,MA 3,43005,Exit 1A,EXIT 1A,Meetinghouse Lane,"Buzzards Bay, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%201A/43005,41.77907,-70.543339,http://maps.google.com/maps?t=m&q=loc:41.77907+-70.543339,Northbound
Massachusetts,MA 3,43006,Exit 1B,EXIT 1B,"Route 3 – Plymouth, Boston","Buzzards Bay, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%201B/43006,41.782664,-70.543387,http://maps.google.com/maps?t=m&q=loc:41.782664+-70.543387,Northbound
Massachusetts,MA 3,43007,Exit 2,EXIT 2,"Route 3A north (Herring Pond Road) – Cedarville, Manomet","Plymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%202/43007,41.814279,-70.553811,http://maps.google.com/maps?t=m&q=loc:41.814279+-70.553811,Northbound
Massachusetts,MA 3,43008,Exit 3,EXIT 3,Clark Road / Beaver Dam Road – Pine Hills,"Plymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%203/43008,41.871018,-70.598421,http://maps.google.com/maps?t=m&q=loc:41.871018+-70.598421,Northbound
Massachusetts,MA 3,43010,Exit 5,EXIT 5,Plymouth Service Area,"Plymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%205/43010,41.935023,-70.653423,http://maps.google.com/maps?t=m&q=loc:41.935023+-70.653423,Northbound
Massachusetts,MA 3,43011,Exit 6,EXIT 6,"US 44 east (Samoset Street) – Plymouth Center, Carver","Plymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%206/43011,41.950319,-70.679124,http://maps.google.com/maps?t=m&q=loc:41.950319+-70.679124,Northbound
Massachusetts,MA 3,43012,Exit 7,EXIT 7,"US 44 west – Taunton, Providence, RI","Plymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%207/43012,41.962691,-70.692254,http://maps.google.com/maps?t=m&q=loc:41.962691+-70.692254,Northbound
Massachusetts,MA 3,43013,Exit 8,EXIT 8,Smith Lane – Rocky Nook,"Kingston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%208/43013,41.976582,-70.711192,http://maps.google.com/maps?t=m&q=loc:41.976582+-70.711192,Northbound
Massachusetts,MA 3,43014,Exit 9,EXIT 9,"Route 3A – Kingston, North Plymouth","Kingston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%209/43014,41.988443,-70.717496,http://maps.google.com/maps?t=m&q=loc:41.988443+-70.717496,Northbound
Massachusetts,MA 3,43015,Exit 10,EXIT 10,"Route 3A to Route 53 – Kingston, South Duxbury","Duxbury, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2010/43015,42.010787,-70.726208,http://maps.google.com/maps?t=m&q=loc:42.010787+-70.726208,Northbound
Massachusetts,MA 3,43016,Exit 11,EXIT 11,"Route 14 – Duxbury, Pembroke","Duxbury, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2011/43016,42.052628,-70.724255,http://maps.google.com/maps?t=m&q=loc:42.052628+-70.724255,Northbound
Massachusetts,MA 3,43017,Exit 12,EXIT 12,"Route 139 – Marshfield, Hanover","Pembroke, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2012/43017,42.108672,-70.767148,http://maps.google.com/maps?t=m&q=loc:42.108672+-70.767148,Northbound
Massachusetts,MA 3,43018,Parking Area,PARKING AREA,Parking Area,"Norwell, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Parking%20Area/43018,42.117247,-70.779656,http://maps.google.com/maps?t=m&q=loc:42.117247+-70.779656,Northbound
Massachusetts,MA 3,43019,Exit 13,EXIT 13,"Route 53 to Route 123 – Hanover, Norwell","Hanover, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2013/43019,42.149735,-70.842202,http://maps.google.com/maps?t=m&q=loc:42.149735+-70.842202,Northbound
Massachusetts,MA 3,43020,Exit 14,EXIT 14,"Route 228 north – Hingham, Rockland","Rockland, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2014/43020,42.164465,-70.888653,http://maps.google.com/maps?t=m&q=loc:42.164465+-70.888653,Northbound
Massachusetts,MA 3,43021,Exit 15,EXIT 15,"Derby Street to Route 53  – Hingham, Weymouth, Norwell","Hingham, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2015/43021,42.179157,-70.916243,http://maps.google.com/maps?t=m&q=loc:42.179157+-70.916243,Northbound
Massachusetts,MA 3,43022,Exit 16,EXIT 16,"Route 18 – Weymouth, Abington","Weymouth, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2016/43022,42.19362,-70.95171,http://maps.google.com/maps?t=m&q=loc:42.19362+-70.95171,Northbound
Massachusetts,MA 3,43023,Exit 17,EXIT 17,"Union Street – Braintree, South Braintree","Braintree, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2017/43023,42.205803,-70.992704,http://maps.google.com/maps?t=m&q=loc:42.205803+-70.992704,Northbound
Massachusetts,MA 3,43024,"Exit 19,20","EXIT 19,20","Burgin Parkway – Quincy Center, Quincy Adams MBTA , I-93 south / US 1 south to I-95 – Canton","Braintree Town, Massachusetts","https://www.iexitapp.com/Massachusetts/MA%203/Exit%2019,20/43024",42.226241,-71.005181,http://maps.google.com/maps?t=m&q=loc:42.226241+-71.005181,Northbound
Massachusetts,MA 3,43025,Exit 8,EXIT 8,Furnace Brook Pkwy; Quincy,"Milton, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%208/43025,42.237756,-71.023558,http://maps.google.com/maps?t=m&q=loc:42.237756+-71.023558,Northbound
Massachusetts,MA 3,43026,Exit 9,EXIT 9,Adams St; Milton; N. Quincy,"Milton, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%209/43026,42.25232,-71.03814,http://maps.google.com/maps?t=m&q=loc:42.25232+-71.03814,Northbound
Massachusetts,MA 3,43027,Exit 11,EXIT 11,Granite Ave,"Milton, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2011/43027,42.274818,-71.05026,http://maps.google.com/maps?t=m&q=loc:42.274818+-71.05026,Northbound
Massachusetts,MA 3,43028,Exit 13,EXIT 13,Freeport St; Dorchester,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2013/43028,42.296289,-71.046232,http://maps.google.com/maps?t=m&q=loc:42.296289+-71.046232,Northbound
Massachusetts,MA 3,43029,Exit 14,EXIT 14,Morrissey Blvd,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2014/43029,42.299692,-71.048009,http://maps.google.com/maps?t=m&q=loc:42.299692+-71.048009,Northbound
Massachusetts,MA 3,43030,Exit 15,EXIT 15,Columbia Rd; Edward Everett Sq.,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2015/43030,42.318469,-71.051723,http://maps.google.com/maps?t=m&q=loc:42.318469+-71.051723,Northbound
Massachusetts,MA 3,43031,Exit 16,EXIT 16,Southampton St; Andrew Sq,"Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2016/43031,42.327369,-71.058338,http://maps.google.com/maps?t=m&q=loc:42.327369+-71.058338,Northbound
Massachusetts,MA 3,43032,Exit 18,EXIT 18,Frontage Rd; Mass Ave; Roxbury,"Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2018/43032,42.330756,-71.061477,http://maps.google.com/maps?t=m&q=loc:42.330756+-71.061477,Northbound
Massachusetts,MA 3,43034,Exit 23,EXIT 23,Aquarium; Quincy Market,"Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2023/43034,42.360407,-71.052393,http://maps.google.com/maps?t=m&q=loc:42.360407+-71.052393,Northbound
Massachusetts,MA 3,43035,Exit 26,EXIT 26,"Storrow Drive
          (MM: 26.0)","Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2026/43035,42.364211,-71.058326,http://maps.google.com/maps?t=m&q=loc:42.364211+-71.058326,Northbound
Massachusetts,MA 3,43072,Exit 26,EXIT 26,"Storrow Drive
          (MM: 26.0)","Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2026/43072,42.364211,-71.058326,http://maps.google.com/maps?t=m&q=loc:42.364211+-71.058326,Southbound
Massachusetts,MA 3,43037,Exit 23,EXIT 23,Purchase St,"Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2023/43037,42.359448,-71.052228,http://maps.google.com/maps?t=m&q=loc:42.359448+-71.052228,Southbound
Massachusetts,MA 3,43039,Exit 20B-A,EXIT 20B-A,I 90,"Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2020B-A/43039,42.354786,-71.052465,http://maps.google.com/maps?t=m&q=loc:42.354786+-71.052465,Southbound
Massachusetts,MA 3,43040,Exit 18,EXIT 18,"Frontage Road / Massachusetts Avenue – Roxbury, Andrew Square","Boston, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2018/43040,42.339543,-71.064094,http://maps.google.com/maps?t=m&q=loc:42.339543+-71.064094,Southbound
Massachusetts,MA 3,43041,Exit 15,EXIT 15,Columbia Road,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2015/43041,42.324003,-71.055468,http://maps.google.com/maps?t=m&q=loc:42.324003+-71.055468,Southbound
Massachusetts,MA 3,43042,Parking Area,PARKING AREA,Parking Area,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Parking%20Area/43042,42.306937,-71.054087,http://maps.google.com/maps?t=m&q=loc:42.306937+-71.054087,Southbound
Massachusetts,MA 3,43043,Exit 12,EXIT 12,Massachusetts 3A S; Neponset; Quincy,"Dorchester, Massachusetts",https://www.iexitapp.com/Massachusetts/MA%203/Exit%2012/43043,42.284029,-71.043844,http://maps.google.com/maps?t=m&q=loc:42.284029+-71.043844,Southbound
