state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New York,Hutchinson River Parkway,47004,Exit 19N,EXIT 19N,"I 95;I 278
          (MM: 19.0)","Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2019N/47004,40.826538,-73.836271,http://maps.google.com/maps?t=m&q=loc:40.826538+-73.836271,Northbound
New York,Hutchinson River Parkway,2,Exit 1,EXIT 1,Bruckner Blvd W,"Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%201/2,40.830536,-73.837503,http://maps.google.com/maps?t=m&q=loc:40.830536+-73.837503,Northbound
New York,Hutchinson River Parkway,4,Exit 2,EXIT 2,E Tremont Ave; Westchester Ave,"Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%202/4,40.837827,-73.838577,http://maps.google.com/maps?t=m&q=loc:40.837827+-73.838577,Northbound
New York,Hutchinson River Parkway,47006,Exit 3E,EXIT 3E,Pelham Pkwy E,"Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%203E/47006,40.852094,-73.835803,http://maps.google.com/maps?t=m&q=loc:40.852094+-73.835803,Northbound
New York,Hutchinson River Parkway,47007,Exit 3W,EXIT 3W,Pelham Pkwy W,"Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%203W/47007,40.856387,-73.832223,http://maps.google.com/maps?t=m&q=loc:40.856387+-73.832223,Northbound
New York,Hutchinson River Parkway,7,Exit 5,EXIT 5,Orchard Beach; City Island,"Bronx, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%205/7,40.87099,-73.81911,http://maps.google.com/maps?t=m&q=loc:40.87099+-73.81911,Northbound
New York,Hutchinson River Parkway,9,Exit 7,EXIT 7,US-1; Boston Rd; Pelham Manor,"Pelham, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%207/9,40.889153,-73.815184,http://maps.google.com/maps?t=m&q=loc:40.889153+-73.815184,Northbound
New York,Hutchinson River Parkway,10,Exit 9,EXIT 9,Wolfs Ln; Mt Vernon; Pelham,"Pelham, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%209/10,40.902808,-73.814763,http://maps.google.com/maps?t=m&q=loc:40.902808+-73.814763,Northbound
New York,Hutchinson River Parkway,11,Exit 12,EXIT 12,East Lincoln Ave; Mount Vernon; Pelham,"Pelham, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2012/11,40.914559,-73.812335,http://maps.google.com/maps?t=m&q=loc:40.914559+-73.812335,Northbound
New York,Hutchinson River Parkway,12,Exit 13,EXIT 13,"CCP
          (MM: 13.0)","Pelham, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2013/12,40.921382,-73.809684,http://maps.google.com/maps?t=m&q=loc:40.921382+-73.809684,Northbound
New York,Hutchinson River Parkway,13,Exit 14,EXIT 14,Pelhamdale Ave; New Rochelle Rd; New Rochelle,"Pelham, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2014/13,40.924864,-73.807677,http://maps.google.com/maps?t=m&q=loc:40.924864+-73.807677,Northbound
New York,Hutchinson River Parkway,15,Exit 16,EXIT 16,Webster Ave; New Rochelle,"New Rochelle, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2016/15,40.942955,-73.803543,http://maps.google.com/maps?t=m&q=loc:40.942955+-73.803543,Northbound
New York,Hutchinson River Parkway,16,Exit 17,EXIT 17,North Ave; Eastchester; New Rochelle,"New Rochelle, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2017/16,40.948687,-73.798446,http://maps.google.com/maps?t=m&q=loc:40.948687+-73.798446,Northbound
New York,Hutchinson River Parkway,17,Exit 21,EXIT 21,Hutchinson Avenue,"Scarsdale, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2021/17,40.96989,-73.77087,http://maps.google.com/maps?t=m&q=loc:40.96989+-73.77087,Northbound
New York,Hutchinson River Parkway,18,Exit 22,EXIT 22,Mamaroneck Rd; Scarsdale; Mamaroneck,"Scarsdale, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2022/18,40.976881,-73.758154,http://maps.google.com/maps?t=m&q=loc:40.976881+-73.758154,Northbound
New York,Hutchinson River Parkway,19,Exit 23S,EXIT 23S,Mamaroneck Ave,"Scarsdale, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2023S/19,40.981,-73.747483,http://maps.google.com/maps?t=m&q=loc:40.981+-73.747483,Northbound
New York,Hutchinson River Parkway,20,Exit 23N,EXIT 23N,Mamaroneck Ave; White Plains,"White Plains, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2023N/20,40.98345,-73.743368,http://maps.google.com/maps?t=m&q=loc:40.98345+-73.743368,Northbound
New York,Hutchinson River Parkway,22,Exit 25,EXIT 25,New York 127; North St; White Plains; Harrison,"Harrison, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2025/22,40.996839,-73.728479,http://maps.google.com/maps?t=m&q=loc:40.996839+-73.728479,Northbound
New York,Hutchinson River Parkway,23,Exit 26E,EXIT 26E,I-287 E; Rye,"Rye, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2026E/23,41.009019,-73.718999,http://maps.google.com/maps?t=m&q=loc:41.009019+-73.718999,Northbound
New York,Hutchinson River Parkway,47011,Exit 26W,EXIT 26W,Westchester Avenue W; I-287 W; White Plains,"Purchase, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2026W/47011,41.014525,-73.716723,http://maps.google.com/maps?t=m&q=loc:41.014525+-73.716723,Northbound
New York,Hutchinson River Parkway,47012,Exit 26A,EXIT 26A,"NY 984J
          (MM: 26.0)","Purchase, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2026A/47012,41.017159,-73.715634,http://maps.google.com/maps?t=m&q=loc:41.017159+-73.715634,Northbound
New York,Hutchinson River Parkway,47013,Exit 27,EXIT 27,NY-120; Purchase St,"Purchase, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2027/47013,41.020792,-73.713676,http://maps.google.com/maps?t=m&q=loc:41.020792+-73.713676,Northbound
New York,Hutchinson River Parkway,26,Exit 28,EXIT 28,Lincoln Ave; Rye Brook; Harrison,"Purchase, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2028/26,41.024068,-73.699644,http://maps.google.com/maps?t=m&q=loc:41.024068+-73.699644,Northbound
New York,Hutchinson River Parkway,27,Exit 29,EXIT 29,Rye Brook,"Port Chester, New York",https://www.iexitapp.com/New%20York/Hutchinson%20River%20Parkway/Exit%2029/27,41.027507,-73.688159,http://maps.google.com/maps?t=m&q=loc:41.027507+-73.688159,Northbound
